"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1.1. Formação Florestal","331290.36330786184","337322.26345178904","343302.8345309198","342406.4237204462","343195.1986593624","347946.8346114125","349885.078543284","346622.9159512242","351074.3304950794","352793.0973670572","354925.31729864323","354122.1260885416","360763.3126564675","362122.86016379803","363149.7879497468","362310.3790161296","362359.1101106362","360112.39154939924","357363.67444440007","355425.3086917153","353001.0082409088","349878.9407813585","350668.57310335484","347890.9967001033","347159.9763253115","344958.85026864096","347442.11855111684","351450.4269623407","351031.3752350083","352426.279189953","354167.4906682061","351963.54525759246","350714.2340417481","348031.8279308097","348060.8366002497","346906.69124190556","347838.5488875908","351394.9997330666"
"1.2. Formação Savânica","2703284.993694342","2701706.167881345","2691753.802526406","2682943.4752359744","2679066.2585448087","2669276.147395233","2661540.468055339","2659492.0748146274","2653603.0955236144","2644548.781670427","2638380.5034495248","2605375.7121522725","2577802.6247491725","2556193.927139031","2534757.502618692","2516473.4203530094","2493958.453981975","2467606.4541273983","2446760.071052282","2397742.2921546195","2364217.0602108585","2340106.2248239573","2322591.355063244","2292324.347387891","2269334.3489065683","2253950.6758825476","2243904.832400592","2208792.6224067025","2185843.3903647605","2171248.4083763226","2149619.38087382","2138202.073157609","2123457.807913854","2106333.0188384955","2073103.2392548088","2023995.0516018285","1992813.0227276732","1945550.3515039827"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1. Campo Alagado e Área Pantanosa","35645.45494504316","29044.18019827203","27198.301415673082","26475.95975914845","25460.651598339013","24979.226516985284","24588.36264249185","24627.348156273583","24579.785017357543","24242.901379619554","24444.264657482083","24297.914283708895","24228.78011471479","24173.633966191865","24150.410253234142","24666.885245549794","25009.24580106741","25691.08405532757","26557.656674407153","26617.673286467678","26316.071541295605","26063.412871892535","26152.12195258714","26196.80704666678","26139.52441290211","26066.193007720194","25971.216330718176","25686.84505559006","25651.074940105405","25648.821242205115","25699.40446834646","25734.131979027654","25791.879466253005","25744.504672521332","25761.507437090455","25836.506214440273","25917.912815252057","26557.519716478822"
"2.2. Formação Campestre","422455.25801254174","421773.1744960063","419461.30295893236","422431.1571281575","423471.69577664364","425170.0090807399","422883.9061356781","423233.03715713305","424021.63403824397","425742.22083247517","423991.81822384644","425672.86265272077","429138.65106209676","428391.06572028773","430287.3093287102","430808.1160265111","427127.5220328955","427899.08904426865","432247.63224618323","429117.84167824633","425817.85773965926","420445.882194418","418448.7342935761","418729.0578943208","416033.9353326191","414692.2857235065","410337.4208025686","401480.99397230556","401297.8640107394","403224.12155656493","401949.5345335116","401471.8093846746","400333.48909530195","396763.8880810125","391942.88387036213","390783.2514733664","387206.5847460248","385965.6789276467"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","1085.4419858093256","1085.7969255798328","1086.328922064208","1085.887898602294","1085.9756187011708","1085.1797829589834","1085.8001270568839","1085.1798877136218","1085.6210269653309","1085.7082472167956","1085.3549231384268","1086.5042104248034","1086.6815545043933","1087.3030141418446","1087.3027848571767","1087.3013458068835","1087.3896245117173","1086.1513206359853","1085.8849738403312","1086.416268432616","1087.2153997192372","1087.4815353271472","1086.864854461669","1086.509771307372","1086.7724224548328","1087.215087927245","1086.7718554687492","1086.8588543579094","1087.5679930358874","1088.185352899169","1088.185420074462","1088.1848487853995","1087.8312658447255","1088.893927557372","1088.4516754882802","1088.8958051757802","1088.8070511169424","1087.1254254455557"
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.1. Pastagem","35933.807478235794","36712.07203678058","43296.55450634245","53784.804047100915","61270.01070546245","67467.10705772623","75490.6394657593","83225.689472937","86393.65771622947","86416.50955726313","81804.34626437997","78619.21967023189","78900.72827900293","80204.54377018314","84322.83376632642","92757.29443848826","100446.26039997624","111851.32237068619","122279.50601486325","128176.65428786616","136898.96770978987","144288.96798037642","153167.25410396035","165829.98038217047","175223.02524146612","179827.372710876","183758.46913034352","190506.76461069647","198797.06588516023","205003.55121934574","212215.95498945186","220378.65450552874","223370.93289388146","231436.3619189399","243850.92120799265","250428.63511060807","254642.29677828334","259641.41258456444"
"3.2. Agricultura","12.174948834228507","16.762601965332006","103.28375851440424","396.87564772339107","659.1087757324218","1865.3484668396004","13328.234695355226","21051.389598406946","30500.242747210694","35685.7340446717","42712.83007666009","80264.71867197835","98621.35552447467","119892.11433963125","138825.667418776","155409.3166923777","183855.32684234108","204760.1024358705","210909.06815996015","261182.4244584529","296924.23755731666","338449.2113504598","352377.63282501185","361666.73672816565","380051.214319415","402455.75159003324","421565.73799140844","470987.0170754056","486614.6900553856","491751.4223558622","514547.5285482963","522953.845298143","535585.7098274587","549807.479369117","562824.0964894472","566780.7225935167","567251.3602119429","568106.3561206026"
"3.3. Silvicultura","","1.329578936767578","1.5955187133789062","11.96904046630859","55.23283273315434","347.86817865600574","345.9179448974608","278.10427240600563","474.63685665893394","353.44680764160074","146.35784498290997","113.02363368530273","92.01543348388668","60.6327087402344","68.5815257751465","149.79705278930666","161.93962958374019","172.84240913085938","137.1258914367675","175.8351054138183","236.4754881042478","230.5487857727049","214.4464424804685","141.20348021240233","220.30580416870123","363.44811594848716","507.00791241455175","1027.3945982482749","2158.524082488985","2497.6438354980046","2966.2302372558224","2975.54528115841","3782.8997597534085","3780.3598007995465","3836.9390584472526","3693.6068121642998","3881.6249355834975","3887.2058400207525"
