"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","63930.94913169599","61835.78535088464","59068.448232629074","58360.705660522784","56850.63134586849","56496.32255701944","58411.13596424019","57317.637096344464","55206.44215570082","50613.840459881634","51482.557382763654","51745.70122919297","50374.56904244995","46770.43334835822","45550.936901031404","46474.70745804458","44807.85503673707","42185.71609499526","43807.72427623312","44402.80246106592","44903.3900367922","45984.06617586677","45869.30854473885","44605.05225170315","44391.97509433619","44715.54637868056","44865.159362390565","44040.382089654886","43229.07708496132","42282.03391356227","41348.48043433242","40986.8599269837","41170.84719074719","40684.31475053708","40667.086697100895","40965.03497949203","40187.82297052628","39450.711254992864"
"1.1. Formação Florestal","35747.94738444273","33923.76662748392","31611.28521102887","31122.52558171434","29542.70775473095","28882.157650574245","30328.268791657247","29708.47260688537","27798.673199511974","23451.8535253725","24055.583466394182","24354.27086893305","23140.683429919485","20168.8562641298","19165.74833320929","19558.1181942019","18149.80799626481","16317.62193991727","17612.135137372145","17790.841600799926","18104.054808374418","18896.348722162104","18742.209767810247","17747.31149836467","17412.94948982587","17688.73631145052","17849.241643182984","17201.39449470268","16496.46539007011","15858.972172559024","15193.081387610191","14847.182285534887","14929.173125232206","14551.230958081142","14494.97314125387","14606.437476861573","14042.839037567419","13769.132867932462"
"1.2. Formação Savânica","1028.5492439208963","828.6754539428672","677.0306455932607","591.564262286376","543.7855901428215","530.7455146911608","633.714122552488","681.6744117980934","602.3729149414047","518.3335216003405","535.9251682434065","617.1972256774886","612.0176891601549","522.529490148924","486.5388808044418","550.4865608520491","541.2880259521467","501.276968395995","489.8464538146965","516.2821122314444","535.3040679260241","524.2304260681135","512.8888589355455","508.7809350158676","517.6231096130354","499.49442448730343","508.51521650390504","543.7909869140609","592.6414356994611","607.107342797849","618.9865358703591","628.186121441648","629.7934743225078","596.7498094787576","562.8116860351545","574.6023320678693","503.694190856933","348.8311126220703"
"1.3. Mangue","14200.416075445395","14138.612316076522","14038.409264379725","13909.173390209813","14029.561277801367","14355.808195837293","14502.722315783609","14468.247404302854","14436.274474438353","14485.397039318681","14603.021223242027","14671.608455718882","14728.942459118609","14754.488708227484","14673.130645397827","14645.447929315074","14624.462727709852","14564.003586016754","14590.260770568751","14648.674345776251","14659.12563322129","14656.800513458102","14707.346756359764","14730.211213586328","14769.238905639526","14692.615698077261","14670.738969921716","14652.074011389004","14651.091829522593","14646.807077758638","14715.931271539173","14759.511962750124","14761.387175091424","14767.728656323114","14805.147499926632","14841.855460534529","14864.091614001329","14985.911965148769"
"1.4. Floresta Alagável","12954.036427886967","12944.730953381331","12741.723111627223","12737.442426312262","12734.576723193355","12727.611195916747","12946.430734246844","12459.242673358145","12369.121566809084","12158.256373590113","12288.027524884043","12102.624678863545","11892.925464251697","11324.558885852019","11225.519041619857","11720.654773675553","11492.296286810268","10802.813600665235","11115.481914477527","11447.004402258299","11604.905527270472","11906.686514178451","11906.863161633286","11618.748604736287","11692.163589257754","11834.699944665483","11836.663532781955","11643.12259664914","11488.87842966916","11169.147320446766","10820.481239312696","10751.979557257046","10850.493416101053","10768.605326654062","10804.15436988524","10942.13971002807","10777.198128100596","10346.835309289567"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","5972.762302032504","5377.162724798593","4808.7990669677765","4812.638442852788","4748.970721978757","4566.24567617187","4421.11042103881","4705.827601824948","4546.769736541734","4485.692723547352","4292.332833789052","4406.651555877679","4208.7438708068785","4332.886636322017","4157.750453070054","3982.973496514877","4004.5862927734247","4360.685635382074","4147.760929785146","3989.502430615227","3937.3439385253796","3762.823291882314","3798.1992944580015","3898.9442492614667","3824.9091054321243","3619.5780039916926","3512.6658223388613","3385.7529437988223","3158.1922221496498","3118.808527935784","3185.883091198721","3153.82154570312","3172.313009680165","3211.1637068054106","3413.8950415466197","3500.171342761219","3294.4935537231318","2192.656102502437"
"2.1. Campo Alagado e Área Pantanosa","2278.940156207277","2267.794938183594","2388.6354246520964","2550.8178083373987","2548.235448345938","2619.4170234985277","2520.4567141784573","2752.9282278747546","2596.0095380798252","2720.3409602050706","2569.7627001464775","2496.9665190551705","2416.673382183838","2777.1347360839864","2719.5339860961844","2446.4229051635657","2469.820792810051","2865.1280040771485","2755.4430556701577","2616.8311119689874","2518.409399749749","2384.0808374999947","2484.025882025142","2645.144729949944","2589.0581628173777","2391.763499023431","2317.540646850582","2275.0254693115207","2037.5500097534111","1983.3408685180611","2063.1860304443276","2014.8701843444785","1999.7827759887618","2086.9504484985277","2307.006304077138","2379.6156877807493","2266.993694348132","1775.9356246826126"
"2.2. Formação Campestre","3325.8657045349423","2715.779189300546","2029.2543088317932","1842.9564874511814","1781.334538336188","1535.4658117858917","1494.7392568908706","1562.6165554077136","1552.8854677856402","1366.1373236999473","1319.6945049438439","1475.8183637084956","1344.5376078369093","1107.1463354980406","991.2191788696232","1081.515614135736","1075.8010127807577","1039.182854510493","942.0163838134756","928.7112234985343","962.8287075866664","922.8152928955036","872.7147911010734","833.7756340637203","835.6530492248543","837.3520033447263","818.6854287658673","754.5617550109841","774.3896489929184","794.8417271118146","783.767724633788","801.8977920959466","839.2274529174778","793.1429688293439","780.6407674499509","794.6643337951667","700.8941149963368","115.29914588012699"
"2.3. Apicum","367.95644129028324","393.58859731445324","390.9093334838867","418.86414706420857","419.4007352966307","411.36284088745083","405.91444996948235","390.2828185424806","397.87473067626934","399.21443964233396","402.8756286987303","433.8666731140135","447.53288078613195","448.6055647399895","446.99728810424733","455.0349772155753","458.9644871826164","456.374776794433","450.3014903015128","443.96009514770446","456.1058311889644","455.927161486816","441.4586213317866","420.0238852478023","400.197893389892","390.462501623535","376.43974672241177","356.1657194763184","346.2525634033203","340.6259323059081","338.9293361206054","337.0535692626952","333.30278077392563","331.070289477539","326.2479700195312","325.89132118530273","326.60574437866205","301.42133193969715"
