"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","59609.265660883044","57700.06299154021","55178.35170208714","54591.01043571208","53270.64658798892","52930.53841633347","54729.237439679724","53781.68433149469","51791.246589203074","47394.787071576066","48207.948170953416","48449.208975048736","47078.25465841069","43543.8753006593","42420.84252305294","43246.54134570332","41578.081130383376","39090.90298347189","40668.341335864534","41141.58853622469","41605.10897924834","42666.93908026138","42579.06601870132","41351.698339795264","41103.072603515946","41427.26926129783","41551.87310631154","40755.58845781902","39977.06317884568","39064.228922265975","38125.40532479883","37764.32014012466","37914.63417625753","37420.9565131165","37403.90716976333","37652.193786926226","36854.70642680689","36131.43956203644"
"1.1. Formação Florestal","34709.62888627377","32960.74289856546","30799.208958764466","30379.93908398485","28954.461916547345","28347.680983325707","29766.72899849929","29236.518520972288","27413.267468121594","23222.039075799745","23815.40828699355","24104.628219726506","22913.99558117681","20029.342120471352","19097.598696899473","19459.778967755366","18061.91898081071","16252.86634514188","17534.428519018875","17706.168239300903","18007.68078740274","18785.147876904535","18644.585102929876","17663.44176079753","17318.89759979291","17591.55837594027","17740.095165753784","17094.659612146526","16391.51690958305","15762.240868378116","15106.17499778475","14777.871461126928","14847.0898469241","14464.503246954433","14410.121075848594","14515.779727258301","13954.86085024442","13671.686879895351"
"1.2. Formação Savânica","946.1076424438455","776.6917018798788","644.0718607055654","563.1607063049307","517.1684168457024","510.11271809081904","616.2074952270485","655.5037035644508","572.718743719481","499.21916124267455","525.2068894226057","594.8673194641098","586.5615568847642","505.11212667846496","470.90802365112154","511.09675754394357","498.6827058959942","467.871566253661","455.9944445617668","469.4787126037588","486.3569972656236","481.0891503051739","467.87194568481306","462.6028926208481","469.65867604369936","455.460050097655","461.6226578002917","487.78782623901185","537.2635086669902","561.8225367736791","568.1639541992165","570.9325240173314","569.7709161743143","542.6223453796364","514.1327111572247","511.7214272399883","443.2248772155756","331.3244885253906"
"1.3. Mangue","11901.971168243319","11861.24654656975","11769.350180828758","11691.20469453729","11800.338186157163","12075.315956018025","12197.578092907725","12183.557324993853","12152.120269769235","12184.986731469657","12271.438613207909","12340.561780303902","12382.89017010499","12384.05227036743","12305.820358355642","12265.901032763617","12233.125773028525","12176.953945519997","12197.851967608614","12219.555363861045","12226.255297235044","12240.722180688403","12285.373294024637","12297.162104107643","12326.722017492633","12257.333658441106","12225.989060461347","12203.84069217522","12195.087719103976","12186.604932513366","12250.727233111538","12299.131181365938","12303.775302685506","12307.169219140584","12340.12211206662","12359.055546411106","12394.153726599092","12481.318251531948"
"1.4. Floresta Alagável","12051.557963922112","12101.381844525125","11965.720701788352","11956.705950885009","11998.67806843871","11997.42875889892","12148.722853045667","11706.1047819641","11653.140107592772","11488.542103063985","11595.894381329352","11409.151655554215","11194.807350244126","10625.368783142054","10546.515444146708","11009.764587640393","10784.353670648154","10193.211126556347","10480.066404675277","10746.386220458979","10884.815897344928","11159.979872363263","11181.235676061993","10928.491582269244","10987.794310186706","11122.917176818803","11124.166222296117","10969.300327258265","10853.195041491665","10553.560584600818","10200.33913970332","10116.384973614466","10193.99811047361","10106.66170164185","10139.531270690899","10265.637086016834","10062.466972747805","9647.10994208375"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","5483.64906411136","4763.89529666749","4195.442338867192","4187.044813989266","4065.6772706115794","3867.678970330815","3771.1335012573236","4106.583957159423","3928.947949243157","3795.611829479978","3619.40072515869","3742.382782391357","3537.7764608520456","3671.566144110105","3482.764154296871","3257.9676994995066","3257.6970463989214","3446.859785955806","3336.651226318359","3237.9686915771485","3182.0585317993127","3058.7176778076155","3020.5841754760745","3104.3588274169933","3015.6748729003943","2874.117675024415","2809.9006596069335","2724.253482299804","2508.39363121948","2469.6351835876458","2522.5077905639628","2502.1470460876444","2493.306381787103","2524.832828076168","2704.787968621823","2747.5658129882795","2585.028568859856","1733.5540072753854"
"2.1. Campo Alagado e Área Pantanosa","1935.2391894287116","1801.9048407775879","1898.271612762449","2053.308285882567","2004.7270667053228","2050.3635461792005","1992.7581017822245","2263.1008804382327","2098.6796372192357","2145.392791857912","2008.8371672729518","2004.7275223510744","1945.7821875549314","2294.0067661071816","2191.1207950134294","1881.3881660766615","1896.5685669067382","2116.721682128907","2116.719888555909","2030.0024090393074","1947.032853680419","1844.4122519897483","1869.7759831420913","1992.934316259767","1928.1834337158234","1807.971590557862","1760.009027905275","1741.1635645141623","1522.356024536132","1465.0206771911633","1532.7183348693839","1493.3343905883778","1446.8953451904267","1514.680440191648","1715.086335882565","1764.2050662048314","1694.9915923461854","1424.820802819819"
"2.2. Formação Campestre","3287.904708569366","2682.99869647828","2019.6077605529847","1839.830284405527","1769.0976221862857","1530.1959208129913","1492.595599816896","1553.4166234558093","1536.8972597534137","1358.0985446289023","1315.1392177856408","1429.4610422729486","1284.4249448913527","1075.6162435363706","987.9143569152774","1067.760365081781","1050.7914114990194","1025.2489481872508","919.0611268005362","908.8821713378898","926.2967571716273","905.1299320983845","850.2954828979484","824.3077856445309","816.6279351745613","797.7831428649898","787.5127105834944","729.9094267517069","739.108174993895","759.9175625488264","746.7890784545888","765.3657395996087","806.8935396484347","771.0810026000959","754.1127765075681","748.9324143066414","654.8942224853505","95.0234300109863"
"2.3. Apicum","260.50516611328135","278.99175941162116","277.5629655517579","293.9062437011719","291.8525817199708","287.11950333862313","285.7797996582032","290.0664532653809","293.3710522705079","292.1204929931642","295.4243401000976","308.1942177673342","307.5693284057618","301.94313446655286","303.729002368164","308.8191683410645","310.337067993164","304.88915563964844","300.87021096191404","299.0841111999512","308.72892094726575","309.1754937194826","300.51270943603527","287.1167255126953","270.86350401000965","268.3629416015625","262.378921118164","253.18049103393554","246.92943168945305","244.6969438476562","243.00037723999012","243.44691589965805","239.517496948242","239.07138528442377","235.58885623168936","234.4283324768066","235.14275402832027","213.70977444457992"
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","11132.018593841502","12153.021646038753","14343.569319634986","14094.434764288319","15446.499525018195","15662.015637225226","13723.547961663751","13822.47268612053","15795.30992513417","20167.115431463582","19187.11945745245","17826.44889469599","18597.94153284928","21091.843128338664","21731.169412176598","20645.742616522366","22159.2526748659","23934.71149504412","22111.22305313743","21586.79986053482","20822.3933024782","19562.65861519789","19146.09629430555","19777.052099163844","19587.259732214494","18437.6628108767","17518.822003955167","17883.911708484047","18304.55283499168","18795.591409448403","19400.486922400123","19466.136637896885","18978.676502899387","18892.19428041404","18434.919209027255","17953.358222027862","18593.499195343047","19588.10211631485"
"3.1. Pastagem","11132.018593841502","12153.021646038753","14343.569319634986","14094.434764288319","15446.499525018195","15662.015637225226","13722.476264617851","13822.47268612053","15795.30992513417","20167.115431463586","19187.11945745245","17826.44889469599","18597.94153284928","21089.878511682167","21728.758292352377","20643.331480578763","22158.270232452567","23921.940314831718","22084.340897394024","21561.793156433258","20812.74803240374","19552.209575537247","19131.896358026253","19762.22732783816","19571.809824743792","18423.016573163077","17488.903720715418","17811.571464990397","18207.655075067363","18720.394039666913","19211.688274908665","19204.64086422745","18706.284939789035","18686.42687122825","18326.58742988907","17843.954973871125","18408.626814788848","19421.18112910172"
"3.2. Agricultura","","","","","","","1.0716970458984376","","","","","","","1.9646166564941412","2.4111198242187495","2.4111359436035156","0.9824424133300781","12.771180212402353","26.882155743408198","25.006704101562494","9.645270074462893","10.449039660644532","14.199936279296875","14.824771325683598","15.44990747070313","14.646237713623044","29.918283239746085","72.3402434936524","96.89775992431647","75.19736978149416","188.79864749145517","261.4957736694337","272.39156311035157","205.767409185791","108.33177913818358","109.40324815673827","184.8723805541993","166.9209872131349"
"3.3. Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.4. Mosaico de Usos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Área não Vegetada","6532.086294061223","8068.407311590431","8786.550307342373","9577.125232281343","9909.803326367031","10476.652433135865","10773.521582183723","11272.230462200805","11556.86339318224","11787.733655743286","12158.733882055516","13124.707249200292","13956.281217211797","14746.331152905099","15302.12075100693","16290.162212670708","16513.614965502795","16979.28562085552","17298.47730506576","17510.138254528592","17850.14661162705","18142.635807549923","18673.592892419387","19183.106746850477","19732.176206890857","20603.048156689205","21462.218043359164","22152.225414184453","22827.14949198602","23268.595403808402","23486.600606182674","23864.377726751514","24251.97803873274","24727.917374444376","25067.65128014514","25206.710782147074","25555.79214756443","26180.495668011412"
"4.1. Praia, Duna e Areal","186.2234694824216","138.52882868041968","128.34677590942363","135.4024926330565","153.89081879272436","172.91504386596668","173.4510879516601","159.517874468994","160.500330529785","181.31106551513653","197.4771930297849","193.63648370971697","197.11952368164077","193.90417600097666","206.94412731323249","219.3591305908206","224.53946164550837","208.55205184326212","172.1111922180172","169.87845109252896","159.60707040405254","178.09542626342778","154.87318668212873","177.73797037353526","160.05332363281252","203.01415141601586","210.1592347778324","236.4180671142584","209.1768250976566","223.4675472900393","188.63463464965812","200.15642652587917","149.69276749267559","148.17445317993145","119.41471406860333","110.75117759399393","111.28712491455056","110.75122640991191"
